covidOccupiedMVBeds,cumAdmissions,hospitalCases,newAdmissions
429.0,603013,12423.0,1292
425.0,604199,12032.0,1186
409.0,605276,11604.0,1077
391.0,606487,11529.0,1211
395.0,607721,11710.0,1234
385.0,608987,11471.0,1266
384.0,610207,11071.0,1220
384.0,611374,10734.0,1167
372.0,612370,10367.0,996
360.0,613359,10010.0,989
348.0,614388,10049.0,1029
355.0,615520,10273.0,1132
323.0,616664,10019.0,1144
326.0,617784,9804.0,1120
303.0,618755,9600.0,971
303.0,619655,9258.0,900
296.0,620489,9187.0,834
304.0,621460,9058.0,971
292.0,622490,9229.0,1030
284.0,623466,8948.0,976
278.0,624442,8868.0,976
262.0,625426,8645.0,984
246.0,626267,8498.0,841
226.0,627155,8197.0,888
239.0,628104,8305.0,949
254.0,629249,8538.0,1145
245.0,630360,8486.0,1111
249.0,631544,8402.0,1184
234.0,632770,8210.0,1226
232.0,633814,8403.0,1044
231.0,634864,8400.0,1050
234.0,636124,8502.0,1260
239.0,637402,8923.0,1278
242.0,638791,9176.0,1389
235.0,640312,9163.0,1521
221.0,641726,9241.0,1414
221.0,643138,9369.0,1412
216.0,644506,9618.0,1368
215.0,646097,9908.0,1591
239.0,647748,10576.0,1651
235.0,649548,10877.0,1800
236.0,651371,11010.0,1823
249.0,653109,11346.0,1738
240.0,654738,11595.0,1629
231.0,656551,11638.0,1813
237.0,658344,12070.0,1793
252.0,660328,12753.0,1984
269.0,662426,13060.0,2098
260.0,664563,13248.0,2137
286.0,666569,13602.0,2006
290.0,668494,13842.0,1925
304.0,670363,13796.0,1869
303.0,672400,14465.0,2037
319.0,674680,15170.0,2280
325.0,676899,15411.0,2219
318.0,679254,15632.0,2355
311.0,681378,15648.0,2124
311.0,683224,15966.0,1846
308.0,685050,15739.0,1826
306.0,687153,15989.0,2103
306.0,689317,16466.0,2164
319.0,691625,16552.0,2308
317.0,693801,16587.0,2176
312.0,695800,16600.0,1999
315.0,697551,16366.0,1751
323.0,699253,15876.0,1702
329.0,701045,16039.0,1792
337.0,702954,16442.0,1909
339.0,704957,16131.0,2003
306.0,706855,15399.0,1898
299.0,708517,14955.0,1662
271.0,709933,14394.0,1416
285.0,711221,14335.0,1288
280.0,712568,14254.0,1347
274.0,714074,14183.0,1506
296.0,715509,14607.0,1435
309.0,716831,14164.0,1322
294.0,718095,13392.0,1264
283.0,719279,12883.0,1184
286.0,720366,12156.0,1087
287.0,721443,12083.0,1077
276.0,722581,11992.0,1138
276.0,723681,11320.0,1100
260.0,724763,10965.0,1082
252.0,725699,10432.0,936
259.0,726571,9938.0,872
265.0,727289,9499.0,718
256.0,728096,9355.0,807
248.0,728924,9326.0,828
237.0,729817,9243.0,893
241.0,730690,8950.0,873
224.0,731467,8596.0,777
211.0,732188,8170.0,721
199.0,732795,7768.0,607
199.0,733464,7715.0,669
187.0,734195,7647.0,731
175.0,734921,7363.0,726
170.0,735592,7034.0,671
162.0,736272,6602.0,680
162.0,736814,6366.0,542
168.0,737367,6147.0,553
170.0,737933,6158.0,566
159.0,738522,6024.0,589
173.0,739098,5733.0,576
161.0,739724,5425.0,626
165.0,740297,5356.0,573
171.0,740747,5187.0,450
164.0,741134,5065.0,387
156.0,741597,5047.0,463
