date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,hospitalCases,newAdmissions,population,covidOccupiedMVBeds,cumAdmissions,covidOccupiedMVBeds_lag_1,covidOccupiedMVBeds_lag_2,covidOccupiedMVBeds_lag_3,covidOccupiedMVBeds_lag_5,covidOccupiedMVBeds_lag_7,covidOccupiedMVBeds_lag_14,covidOccupiedMVBeds_lag_21,month,day,day_of_week
2022-01-13,83421.0,233.0,13350893.0,132679.0,22625.0,2732,56171302,852.0,781539,852.0,872.0,903.0,909.0,979.0,989.0,968.0,1,13,3
2022-01-14,74592.0,251.0,13425485.0,132930.0,22479.0,2371,56171302,822.0,783910,852.0,852.0,872.0,899.0,931.0,1002.0,950.0,1,14,4
2022-01-15,67357.0,256.0,13492842.0,133186.0,22186.0,2253,56171302,788.0,786163,822.0,852.0,852.0,903.0,909.0,984.0,955.0,1,15,5
2022-01-16,85109.0,249.0,13577951.0,133435.0,22351.0,2503,56171302,804.0,788666,788.0,822.0,852.0,872.0,899.0,995.0,973.0,1,16,6
2022-01-17,113970.0,259.0,13691921.0,133694.0,22700.0,2588,56171302,811.0,791254,804.0,788.0,822.0,852.0,903.0,989.0,976.0,1,17,0
2022-01-18,102567.0,252.0,13794488.0,133946.0,22257.0,2500,56171302,807.0,793754,811.0,804.0,788.0,852.0,872.0,1018.0,964.0,1,18,1
2022-01-19,96753.0,239.0,13891241.0,134185.0,21592.0,2451,56171302,780.0,796205,807.0,811.0,804.0,822.0,852.0,987.0,970.0,1,19,2
2022-01-20,86266.0,223.0,13977507.0,134408.0,21005.0,2385,56171302,764.0,798590,780.0,807.0,811.0,788.0,852.0,979.0,989.0,1,20,3
2022-01-21,78518.0,269.0,14056025.0,134677.0,20406.0,2015,56171302,733.0,800605,764.0,780.0,807.0,804.0,822.0,931.0,1002.0,1,21,4
2022-01-22,70075.0,257.0,14126100.0,134934.0,19699.0,1812,56171302,730.0,802417,733.0,764.0,780.0,811.0,788.0,909.0,984.0,1,22,5
2022-01-23,88178.0,219.0,14214278.0,135153.0,19607.0,2146,56171302,699.0,804563,730.0,733.0,764.0,807.0,804.0,899.0,995.0,1,23,6
2022-01-24,108519.0,247.0,14322797.0,135400.0,19956.0,2178,56171302,690.0,806741,699.0,730.0,733.0,780.0,811.0,903.0,989.0,1,24,0
2022-01-25,96430.0,211.0,14419227.0,135611.0,19329.0,2348,56171302,662.0,809089,690.0,699.0,730.0,764.0,807.0,872.0,1018.0,1,25,1
2022-01-26,92691.0,233.0,14511918.0,135844.0,19071.0,2373,56171302,646.0,811462,662.0,690.0,699.0,733.0,780.0,852.0,987.0,1,26,2
