areaType,areaName,areaCode,date,newAdmissionsWeekly,cumAdmissions
nation,England,E92000001,2022-06-11,,751594
nation,England,E92000001,2022-06-10,4037,751011
nation,England,E92000001,2022-06-09,,750422
nation,England,E92000001,2022-06-08,,749795
nation,England,E92000001,2022-06-07,,749131
nation,England,E92000001,2022-06-06,,748554
nation,England,E92000001,2022-06-05,,747948
nation,England,E92000001,2022-06-04,,747417
nation,England,E92000001,2022-06-03,3073,746974
nation,England,E92000001,2022-06-02,,746570
nation,England,E92000001,2022-06-01,,746158
nation,England,E92000001,2022-05-31,,745678
nation,England,E92000001,2022-05-30,,745176
nation,England,E92000001,2022-05-29,,744711
nation,England,E92000001,2022-05-28,,744283
nation,England,E92000001,2022-05-27,3154,743901
nation,England,E92000001,2022-05-26,,743459
nation,England,E92000001,2022-05-25,,743038
nation,England,E92000001,2022-05-24,,742563
nation,England,E92000001,2022-05-23,,742102
nation,England,E92000001,2022-05-22,,741597
nation,England,E92000001,2022-05-21,,741134
nation,England,E92000001,2022-05-20,3933,740747
nation,England,E92000001,2022-05-19,,740297
nation,England,E92000001,2022-05-18,,739724
nation,England,E92000001,2022-05-17,,739098
nation,England,E92000001,2022-05-16,,738522
nation,England,E92000001,2022-05-15,,737933
nation,England,E92000001,2022-05-14,,737367
nation,England,E92000001,2022-05-13,4626,736814
nation,England,E92000001,2022-05-12,,736272
nation,England,E92000001,2022-05-11,,735592
nation,England,E92000001,2022-05-10,,734921
nation,England,E92000001,2022-05-09,,734195
nation,England,E92000001,2022-05-08,,733464
nation,England,E92000001,2022-05-07,,732795
nation,England,E92000001,2022-05-06,5617,732188
nation,England,E92000001,2022-05-05,,731467
nation,England,E92000001,2022-05-04,,730690
nation,England,E92000001,2022-05-03,,729817
nation,England,E92000001,2022-05-02,,728924
nation,England,E92000001,2022-05-01,,728096
nation,England,E92000001,2022-04-30,,727289
nation,England,E92000001,2022-04-29,7292,726571
nation,England,E92000001,2022-04-28,,725699
nation,England,E92000001,2022-04-27,,724763
nation,England,E92000001,2022-04-26,,723681
nation,England,E92000001,2022-04-25,,722581
nation,England,E92000001,2022-04-24,,721443
nation,England,E92000001,2022-04-23,,720366
nation,England,E92000001,2022-04-22,9346,719279
nation,England,E92000001,2022-04-21,,718095
nation,England,E92000001,2022-04-20,,716831
nation,England,E92000001,2022-04-19,,715509
nation,England,E92000001,2022-04-18,,714074
nation,England,E92000001,2022-04-17,,712568
nation,England,E92000001,2022-04-16,,711221
nation,England,E92000001,2022-04-15,12382,709933
nation,England,E92000001,2022-04-14,,708517
nation,England,E92000001,2022-04-13,,706855
nation,England,E92000001,2022-04-12,,704957
