,date,cumAdmissions,hospitalCases,covidOccupiedMVBeds,Vax_index,dailyCases
396,2021-05-03,316160,836.0,113.0,0.24453,1806
397,2021-05-04,316225,827.0,106.0,0.24453,2200
398,2021-05-05,316300,775.0,110.0,0.24453,2203
399,2021-05-06,316364,776.0,99.0,0.24453,1967
400,2021-05-07,316416,793.0,101.0,0.24453,1657
401,2021-05-08,316485,756.0,95.0,0.24453,1301
402,2021-05-09,316544,751.0,85.0,0.24453,1985
403,2021-05-10,316606,701.0,91.0,0.24453,2325
404,2021-05-11,316671,700.0,95.0,0.24453,1872
405,2021-05-12,316742,664.0,76.0,0.24453,1869
406,2021-05-13,316803,632.0,93.0,0.24453,1737
407,2021-05-14,316855,620.0,82.0,0.24453,1540
408,2021-05-15,316911,554.0,67.0,0.24453,1306
409,2021-05-16,316956,562.0,67.0,0.24453,1587
410,2021-05-17,317016,640.0,87.0,0.24453,2341
411,2021-05-18,317091,587.0,68.0,0.24453,2241
412,2021-05-19,317168,534.0,82.0,0.24453,2261
413,2021-05-20,317234,545.0,67.0,0.24453,2000
414,2021-05-21,317300,545.0,77.0,0.24453,1872
415,2021-05-22,317355,524.0,81.0,0.24453,1606
416,2021-05-23,317413,540.0,73.0,0.24453,1918
417,2021-05-24,317490,584.0,87.0,0.24453,2750
418,2021-05-25,317554,599.0,87.0,0.24453,2797
419,2021-05-26,317630,581.0,89.0,0.24453,3179
420,2021-05-27,317683,565.0,59.0,0.24453,3075
421,2021-05-28,317748,544.0,83.0,0.24453,2929
422,2021-05-29,317798,557.0,82.0,0.24453,2462
423,2021-05-30,317852,543.0,82.0,0.24453,2598
424,2021-05-31,317929,607.0,73.0,0.24453,3170
425,2021-06-01,318020,661.0,76.0,0.22316249999999999,4515
426,2021-06-02,318109,669.0,94.0,0.22316249999999999,5039
427,2021-06-03,318185,668.0,100.0,0.22316249999999999,5131
428,2021-06-04,318257,681.0,91.0,0.22316249999999999,4886
429,2021-06-05,318332,697.0,92.0,0.22316249999999999,3964
430,2021-06-06,318428,676.0,104.0,0.22316249999999999,4730
431,2021-06-07,318538,692.0,83.0,0.22316249999999999,6791
432,2021-06-08,318654,700.0,103.0,0.22316249999999999,6630
433,2021-06-09,318779,692.0,110.0,0.22316249999999999,6919
434,2021-06-10,318918,728.0,107.0,0.22316249999999999,6718
435,2021-06-11,319044,757.0,106.0,0.22316249999999999,6510
436,2021-06-12,319150,694.0,128.0,0.22316249999999999,5422
437,2021-06-13,319297,792.0,150.0,0.22316249999999999,6075
438,2021-06-14,319455,779.0,118.0,0.22316249999999999,8941
439,2021-06-15,319601,829.0,151.0,0.22316249999999999,9153
440,2021-06-16,319746,832.0,130.0,0.22316249999999999,9411
441,2021-06-17,319893,994.0,143.0,0.22316249999999999,9523
442,2021-06-18,320048,1016.0,160.0,0.22316249999999999,8772
443,2021-06-19,320188,982.0,146.0,0.22316249999999999,7127
444,2021-06-20,320332,1008.0,173.0,0.22316249999999999,8203
445,2021-06-21,320481,1114.0,166.0,0.22316249999999999,12707
446,2021-06-22,320630,1052.0,184.0,0.22316249999999999,13563
447,2021-06-23,320793,955.0,178.0,0.22316249999999999,14806
448,2021-06-24,320954,1015.0,190.0,0.22316249999999999,15084
449,2021-06-25,321117,1016.0,164.0,0.22316249999999999,14901
450,2021-06-26,321299,1062.0,154.0,0.22316249999999999,13486
451,2021-06-27,321483,1080.0,165.0,0.22316249999999999,15407
452,2021-06-28,321676,1216.0,209.0,0.22316249999999999,23511
453,2021-06-29,321914,1147.0,191.0,0.22316249999999999,23250
454,2021-06-30,322185,1181.0,191.0,0.22316249999999999,23941
455,2021-07-01,322426,1345.0,216.0,0.201795,24267
456,2021-07-02,322672,1322.0,218.0,0.201795,22287
457,2021-07-03,322937,1274.0,213.0,0.201795,20638
458,2021-07-04,323250,1484.0,265.0,0.201795,21806
459,2021-07-05,323599,1435.0,246.0,0.201795,30215
460,2021-07-06,323970,1605.0,265.0,0.201795,31627
461,2021-07-07,324346,1761.0,300.0,0.201795,34274
462,2021-07-08,324712,1794.0,304.0,0.201795,29929
463,2021-07-09,325084,1918.0,306.0,0.201795,29050
464,2021-07-10,325463,1885.0,305.0,0.201795,25411
465,2021-07-11,325863,2008.0,313.0,0.201795,27418
466,2021-07-12,326365,2201.0,323.0,0.201795,40477
467,2021-07-13,326881,2424.0,349.0,0.201795,43247
468,2021-07-14,327334,2438.0,374.0,0.201795,50320
469,2021-07-15,327855,2557.0,381.0,0.201795,57583
470,2021-07-16,328314,2776.0,430.0,0.201795,51138
471,2021-07-17,328840,2847.0,414.0,0.201795,35281
