,date,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,openstreetmap_id,latitude,longitude,region,epi_week
246,2020-09-03 00:00:00,207.0,0.0,17010.0,2127.0,2656980,151164,55.0,-1.866667,North East England,202036
247,2020-09-04 00:00:00,178.0,0.0,17188.0,2127.0,2656980,151164,55.0,-1.866667,North East England,202036
248,2020-09-05 00:00:00,238.0,1.0,17426.0,2128.0,2656980,151164,55.0,-1.866667,North East England,202036
249,2020-09-06 00:00:00,171.0,1.0,17597.0,2129.0,2656980,151164,55.0,-1.866667,North East England,202037
250,2020-09-07 00:00:00,203.0,1.0,17800.0,2130.0,2656980,151164,55.0,-1.866667,North East England,202037
251,2020-09-08 00:00:00,231.0,0.0,18031.0,2130.0,2656980,151164,55.0,-1.866667,North East England,202037
252,2020-09-09 00:00:00,241.0,0.0,18272.0,2130.0,2656980,151164,55.0,-1.866667,North East England,202037
253,2020-09-10 00:00:00,239.0,0.0,18511.0,2130.0,2656980,151164,55.0,-1.866667,North East England,202037
254,2020-09-11 00:00:00,201.0,1.0,18712.0,2131.0,2656980,151164,55.0,-1.866667,North East England,202037
255,2020-09-12 00:00:00,153.0,0.0,18865.0,2131.0,2656980,151164,55.0,-1.866667,North East England,202037
256,2020-09-13 00:00:00,143.0,1.0,19008.0,2132.0,2656980,151164,55.0,-1.866667,North East England,202038
257,2020-09-14 00:00:00,200.0,1.0,19208.0,2133.0,2656980,151164,55.0,-1.866667,North East England,202038
258,2020-09-15 00:00:00,268.0,1.0,19476.0,2134.0,2656980,151164,55.0,-1.866667,North East England,202038
259,2020-09-16 00:00:00,329.0,2.0,19805.0,2136.0,2656980,151164,55.0,-1.866667,North East England,202038
260,2020-09-17 00:00:00,372.0,4.0,20177.0,2140.0,2656980,151164,55.0,-1.866667,North East England,202038
261,2020-09-18 00:00:00,469.0,3.0,20646.0,2143.0,2656980,151164,55.0,-1.866667,North East England,202038
262,2020-09-19 00:00:00,437.0,1.0,21083.0,2144.0,2656980,151164,55.0,-1.866667,North East England,202038
263,2020-09-20 00:00:00,591.0,3.0,21674.0,2147.0,2656980,151164,55.0,-1.866667,North East England,202039
264,2020-09-21 00:00:00,613.0,5.0,22287.0,2152.0,2656980,151164,55.0,-1.866667,North East England,202039
265,2020-09-22 00:00:00,551.0,2.0,22838.0,2154.0,2656980,151164,55.0,-1.866667,North East England,202039
266,2020-09-23 00:00:00,647.0,5.0,23485.0,2159.0,2656980,151164,55.0,-1.866667,North East England,202039
267,2020-09-24 00:00:00,729.0,1.0,24214.0,2160.0,2656980,151164,55.0,-1.866667,North East England,202039
268,2020-09-25 00:00:00,613.0,6.0,24827.0,2166.0,2656980,151164,55.0,-1.866667,North East England,202039
269,2020-09-26 00:00:00,782.0,8.0,25609.0,2174.0,2656980,151164,55.0,-1.866667,North East England,202039
270,2020-09-27 00:00:00,666.0,11.0,26275.0,2185.0,2656980,151164,55.0,-1.866667,North East England,202040
271,2020-09-28 00:00:00,986.0,6.0,27261.0,2191.0,2656980,151164,55.0,-1.866667,North East England,202040
272,2020-09-29 00:00:00,1058.0,5.0,28319.0,2196.0,2656980,151164,55.0,-1.866667,North East England,202040
273,2020-09-30 00:00:00,967.0,3.0,29286.0,2199.0,2656980,151164,55.0,-1.866667,North East England,202040
274,2020-10-01 00:00:00,1201.0,5.0,30487.0,2204.0,2656980,151164,55.0,-1.866667,North East England,202040
275,2020-10-02 00:00:00,1227.0,18.0,31714.0,2222.0,2656980,151164,55.0,-1.866667,North East England,202040
276,2020-10-03 00:00:00,1179.0,7.0,32893.0,2229.0,2656980,151164,55.0,-1.866667,North East England,202040
277,2020-10-04 00:00:00,1215.0,9.0,34108.0,2238.0,2656980,151164,55.0,-1.866667,North East England,202041
278,2020-10-05 00:00:00,1387.0,7.0,35495.0,2245.0,2656980,151164,55.0,-1.866667,North East England,202041
279,2020-10-06 00:00:00,1457.0,10.0,36952.0,2255.0,2656980,151164,55.0,-1.866667,North East England,202041
